dataset,media_accuracy,desvio_padrao_accuracy
ArrowHead,0.7819428571428572,0.01277022776622117
DistalPhalanxTW,0.7051798561151079,0.006892819172500399
ECG5000,0.9472133333333334,0.0007621824890644206
ElectricDevices,0.6695448061211258,0.0028175994964542597
FaceAll,0.9344260355029586,0.004033973180744063
FiftyWords,0.7693626373626372,0.005317350386447674
GunPoint,0.9935999999999998,0.002999622047242593
Ham,0.6836190476190477,0.012213110668136204
InlineSkate,0.39280000000000004,0.005654468498363757
Lightning2,0.7337704918032787,0.022840628272106044
OSULeaf,0.8309917355371901,0.010061428895548577
RefrigerationDevices,0.5059733333333333,0.012176301282621507
ShapeletSim,0.6482222222222223,0.0268305621025018
ShapesAll,0.8664000000000001,0.004356036809915912
SyntheticControl,0.9988666666666666,0.0020876485920745718
TwoPatterns,1.0,0.0
