dataset,media_accuracy,desvio_padrao_accuracy
ArrowHead,0.7789714285714285,0.014206896272853611
DistalPhalanxTW,0.704748201438849,0.008087282866559499
ECG5000,0.9470044444444444,0.0006856554942463001
ElectricDevices,0.6694981195694463,0.0029068461784791406
FaceAll,0.9340828402366863,0.0025667331277580705
FiftyWords,0.7701538461538461,0.005122456436776146
GunPoint,0.9933333333333333,0.0026937401188058905
Ham,0.6887619047619047,0.013112145636088993
InlineSkate,0.39301818181818177,0.004112763722158853
Lightning2,0.7288524590163935,0.024830983163820628
OSULeaf,0.8271900826446281,0.010875011294429915
RefrigerationDevices,0.5037333333333334,0.011583082510865358
ShapeletSim,0.6453333333333333,0.03175317379978393
ShapesAll,0.8651999999999999,0.004944590942821942
SyntheticControl,0.9991333333333333,0.0016232438618151643
TwoPatterns,1.0,0.0
