dataset,media_accuracy,desvio_padrao_accuracy
ArrowHead,0.7810285714285715,0.011454198672189634
DistalPhalanxTW,0.7025899280575539,0.006099325847875752
ECG5000,0.9472799999999999,0.0005070627405232125
ElectricDevices,0.6692750616003112,0.002740317110830336
FaceAll,0.9337396449704144,0.0034924441658237084
FiftyWords,0.7712527472527472,0.004369512152493521
GunPoint,0.9926666666666665,0.0030860669992418227
Ham,0.6853333333333335,0.009990508707856222
InlineSkate,0.39280000000000004,0.004073204318735098
Lightning2,0.7314754098360656,0.02431314916767319
OSULeaf,0.8288429752066117,0.012013820972476942
RefrigerationDevices,0.5053333333333333,0.01326513169255631
ShapeletSim,0.653222222222222,0.02828538470939057
ShapesAll,0.8659666666666667,0.004833861101844734
SyntheticControl,0.9986000000000002,0.001915446224868447
TwoPatterns,1.0,0.0
