dataset,media_accuracy,desvio_padrao_accuracy
ArrowHead,0.7801142857142858,0.015195080200754846
DistalPhalanxTW,0.7040287769784173,0.007828454323758284
ECG5000,0.9473333333333334,0.0004979170521066088
ElectricDevices,0.6687770717157306,0.002483424927017746
FaceAll,0.9331597633136094,0.0027855706077731033
FiftyWords,0.7702857142857141,0.004745857112135947
GunPoint,0.9932,0.0025161609168805462
Ham,0.6878095238095239,0.015307180613460536
InlineSkate,0.39210909090909096,0.004698499561332982
Lightning2,0.7275409836065573,0.02243603721217327
OSULeaf,0.8310743801652891,0.008860289510882495
RefrigerationDevices,0.5086400000000001,0.012655533954857046
ShapeletSim,0.6494444444444444,0.025576004832257172
ShapesAll,0.8650333333333333,0.004635097300394778
SyntheticControl,0.9986666666666667,0.0017817416127494847
TwoPatterns,1.0,0.0
