dataset,media_accuracy,desvio_padrao_accuracy
ArrowHead,0.7825142857142856,0.015202533820680335
DistalPhalanxTW,0.7037410071942446,0.006769115642374141
ECG5000,0.9471511111111112,0.0007561822131144083
ElectricDevices,0.6694955258721307,0.0025185343609672004
FaceAll,0.9336568047337279,0.0031890433931618767
FiftyWords,0.7697142857142856,0.005878738357711254
GunPoint,0.9922666666666666,0.002812347249568244
Ham,0.6870476190476191,0.010183198585667599
InlineSkate,0.39287272727272726,0.006232034391467564
Lightning2,0.7331147540983607,0.026710215324371425
OSULeaf,0.8296694214876033,0.012249363448915144
RefrigerationDevices,0.5061333333333333,0.012391204546507115
ShapeletSim,0.6471111111111111,0.0363391543597503
ShapesAll,0.8654666666666665,0.004259709463866443
SyntheticControl,0.9991333333333333,0.0016232438618151643
TwoPatterns,1.0,0.0
