dataset,media_accuracy,desvio_padrao_accuracy
ArrowHead,0.7785142857142857,0.013687047781312451
DistalPhalanxTW,0.7028776978417267,0.006036659878967485
ECG5000,0.9472399999999999,0.000676555531535445
ElectricDevices,0.6685151082868629,0.0027477656931158656
FaceAll,0.9330650887573966,0.002701392370228088
FiftyWords,0.7705494505494506,0.004984146896824987
GunPoint,0.9935999999999998,0.002999622047242593
Ham,0.6870476190476191,0.014654772858425579
InlineSkate,0.3935272727272727,0.004984848014917469
Lightning2,0.7331147540983607,0.02295559860392101
OSULeaf,0.8311570247933885,0.010821043870384265
RefrigerationDevices,0.50528,0.012785933313722074
ShapeletSim,0.6483333333333334,0.02873081644428247
ShapesAll,0.8659333333333333,0.0038415321962092792
SyntheticControl,0.9984000000000002,0.0020470652628766317
TwoPatterns,1.0,0.0
